Date,open,high,low,close,adj_close,volume
2010-11-11,608.41803,617.754028,597.698975,601.223999,503.595276,5138786
2010-11-12,598.890015,600.986023,574.97699,578.263,484.362762,7231823
2010-11-15,592.507019,594.411987,579.359009,589.077026,493.420746,7438344
2010-11-16,591.554016,594.460022,566.307007,577.310974,483.565338,9334030
2010-11-18,580.64502,596.890015,568.35498,593.984009,497.530945,7796429
2010-11-19,594.411987,594.841003,572.833008,577.406006,483.644989,6282816
2010-11-22,581.692993,597.414001,579.93103,595.317993,498.648285,5150180
2010-11-23,586.885986,593.364014,574.356995,583.218018,488.513184,6176241
2010-11-24,584.504028,596.031982,583.551025,587.45697,492.063751,6684692
2010-11-25,591.078003,594.127014,571.737,574.213989,480.971222,6178196
2010-11-26,577.73999,579.406982,554.20697,570.499023,477.859497,8975934
2010-11-29,571.833008,576.406006,558.112976,563.877014,472.312775,6009618
2010-11-30,561.161987,561.161987,546.966003,557.159973,466.686523,8217569
2010-12-01,560.114014,585.742004,559.255981,584.552002,489.630524,6536437
2010-12-02,592.507019,600.51001,587.409973,593.317017,496.97229,5816049
2010-12-03,594.031006,595.27002,577.73999,585.504028,490.427948,4716568
2010-12-06,592.507019,609.656006,590.697021,605.034973,506.787415,8773088
2010-12-07,609.179993,613.895996,603.177979,609.132019,510.219147,7234539
2010-12-08,605.369019,606.226013,591.840027,594.745972,498.169189,5083019
2010-12-09,598.794983,600.223999,571.737,575.97699,482.447968,6202064
2010-12-10,574.262024,591.648987,566.354004,589.744019,493.979462,5332466
2010-12-13,590.697021,604.034973,587.64801,601.177002,503.555878,5466794
2010-12-14,603.08197,618.325989,602.130005,616.039001,516.004517,5980575
2010-12-15,614.372009,621.804016,606.655029,612.370972,512.93219,6159489
2010-12-16,614.515015,631.330994,611.466003,629.187012,527.017578,9451073
2010-12-20,623.184998,640.047974,622.422974,634.903992,531.806213,6805408
2010-12-21,635.570984,646.669983,634.807983,644.241028,539.627075,4544583
2010-12-22,645.289001,650.432983,635.284973,641.096008,536.992737,6574107
2010-12-23,643.14502,645.765015,628.09198,630.09198,527.775635,5380728
2010-12-24,628.616028,643.763977,624.090027,641.049011,536.953308,4161339
2010-12-27,640.382019,645.955017,630.28302,631.236023,528.733887,2934612
2010-12-28,633.570007,638.094971,631.379028,633.570007,530.688843,2248360
2010-12-29,635.713989,640.239014,634.52301,636.476013,533.122925,2293283
2010-12-30,638.905029,644.622009,638.333984,640.953979,536.873779,3722812
2010-12-31,643.288025,651.958008,640.239014,648.242004,542.978333,4184417
2011-01-03,652.815002,674.060974,652.719971,670.773987,561.851501,6984284
2011-01-04,675.109009,680.158997,660.484985,661.866028,554.390076,8335842
2011-01-05,663.580994,663.723999,645.241028,648.765991,543.417236,5171748
2011-01-06,655.244995,658.197998,649.289978,651.005005,545.292664,3985174
2011-01-07,652.14801,655.434998,625.138,629.997009,527.696045,6122507
2011-01-10,628.80603,634.237,614.515015,619.945984,519.2771,6558356
2011-01-11,618.325989,629.187012,610.466003,615.992004,515.96521,6173321
2011-01-12,617.468994,627.471985,596.651001,618.231018,517.840576,8963776
2011-01-13,620.994019,624.994995,604.987976,607.416992,508.782623,7152095
2011-01-14,604.987976,606.512024,588.315002,593.031006,496.732635,7110132
2011-01-17,587.981018,598.31897,584.218018,596.080017,499.286591,5338888
2011-01-18,597.366028,608.607971,597.366028,602.700989,504.832397,6150201
2011-01-19,603.940002,614.039001,603.130005,609.369995,510.418488,6052428
2011-01-20,603.940002,612.848022,600.796021,604.226013,506.109802,6686360
2011-01-21,600.461975,604.987976,597.366028,599.794983,502.398315,3882969
2011-01-24,599.176025,621.469971,595.460022,618.564026,518.119629,6549296
2011-01-25,619.659973,633.093994,619.565002,624.375977,522.987732,6252659
2011-01-27,626.138977,629.187012,616.705994,619.374023,518.798096,5539033
2011-01-28,616.421021,623.565979,600.414978,607.322021,508.703033,4909167
2011-01-31,591.648987,611.609009,588.791016,609.466003,510.49884,7187052
2011-02-01,607.322021,612.419006,597.460999,601.890991,504.153992,6698378
2011-02-02,601.271973,604.940002,586.695007,596.651001,499.764893,16164440
2011-02-03,596.127014,610.609009,596.127014,607.940979,509.221466,5717021
2011-02-04,607.607971,621.184021,602.130005,605.844971,507.465881,7356848
2011-02-07,609.466003,614.992004,604.130005,610.132996,511.057587,5473918
2011-02-08,614.609985,614.609985,587.171997,590.411011,494.538116,6608752
2011-02-09,589.648987,591.364014,567.020996,570.83197,478.138367,8672812
2011-02-10,570.689026,575.929016,553.682983,572.166016,479.255798,9024372
2011-02-11,573.546997,574.405029,547.919006,567.164001,475.06604,9287174
2011-02-14,578.596985,593.554993,571.166016,590.934998,494.97702,5596707
2011-02-15,594.507996,597.366028,583.075012,587.45697,492.063751,6172637
2011-02-16,581.169006,614.039001,577.16803,611.085022,511.855103,10695854
2011-02-17,613.562012,625.947998,611.228027,624.138,522.788452,6501976
2011-02-18,625.567017,630.140015,604.177979,608.179016,509.420868,6013446
2011-02-21,611.085022,611.085022,592.935974,607.322021,508.703033,5499297
2011-02-22,601.08197,601.177002,590.982971,594.841003,498.248718,5270722
2011-02-23,593.460022,702.166992,585.408997,597.366028,500.363831,4623236
2011-02-24,594.507996,596.36499,566.973999,574.166992,480.931824,8005097
2011-02-25,579.359009,582.502991,563.257996,578.16803,484.283142,8130476
2011-02-28,584.97998,587.45697,570.974976,578.453979,484.522705,6774830
2011-03-01,582.265015,605.75,580.406982,604.463989,506.309082,5734100
2011-03-03,600.223999,602.510986,588.887024,594.888977,498.288879,5469288
2011-03-04,600.414978,603.224976,587.075989,588.981995,493.341156,4224024
2011-03-07,584.455994,584.646973,566.973999,574.262024,481.011414,4706831
2011-03-08,578.310974,589.362976,574.594971,586.885986,491.58551,4483245
2011-03-09,588.791016,591.221008,578.310974,583.97998,489.151367,3667048
2011-03-10,582.122009,582.122009,567.06897,568.35498,476.063629,6534600
2011-03-11,566.354004,566.354004,549.872009,553.825989,463.893921,7667481
2011-03-14,554.588013,574.309998,554.588013,572.690002,479.694733,5585909
2011-03-15,557.351013,571.546997,547.823975,565.258972,473.470398,8050314
2011-03-16,568.307007,578.788025,568.307007,571.213013,478.457611,5538920
2011-03-17,562.638977,571.356018,562.11499,564.687012,472.991241,3940755
2011-03-18,570.737,574.929016,565.067993,568.927002,476.542755,4446763
2011-03-21,572.594971,577.357971,568.35498,573.02301,479.973694,3692485
2011-03-22,576.406006,581.645996,574.643005,576.215027,482.647339,3113351
2011-03-23,576.263,582.883972,575.357971,581.549988,487.115997,2904285
2011-03-24,585.932983,587.267029,577.025024,580.93103,486.597534,3558831
2011-03-25,587.742981,587.742981,579.549988,586.362,491.146576,4157941
2011-03-28,585.646973,590.840027,581.21698,584.408997,489.510773,3008008
2011-03-29,583.551025,589.219971,579.64502,583.932007,489.111176,5057012
2011-03-30,586.885986,593.507019,585.646973,586.695007,491.425537,3491539
2011-03-31,588.028992,597.223022,584.97998,592.840027,496.572723,5119842
2011-04-01,593.554993,600.176025,590.934998,596.984985,500.044586,2631445
